it global_time dt rho m1 m2 m3 e tracer_ism tracer_sn rhod1 rhod2 rhod3 rhod4 m1d1 m1d2 m1d3 m1d4 m2d1 m2d2 m2d3 m2d4 m3d1 m3d2 m3d3 m3d4 c1 c2 c3 c4 c5 c6 c7 c8 n1 n2 n3 n4 n5 n6 n7 n8 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    6386  2.00000000E+00  3.74267593E-04   1.44133712E-01  3.14348343E+00  0.00000000E+00  0.00000000E+00  3.86508904E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743799E-06  1.06204535E-05  1.19517163E-08  3.57409879E-08  4.06617944E-05  1.39990019E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  2.08333333E-02  2.08333333E-02  1.04166667E-02  3.12500000E-02  7.16145833E-02  5.33854167E-02        9       1       1       2       2      12      55      82 |   0.00E+00  0.00E+00  1.60E+05  1.64E+02  8.77E+01  2.39E+00
    6653  2.10000000E+00  3.77418454E-04   1.44133712E-01  3.14705335E+00  0.00000000E+00  0.00000000E+00  3.86508833E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743798E-06  1.06204535E-05  1.39928672E-08  4.17974625E-08  4.09309170E-05  1.40260399E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  2.08333333E-02  2.08333333E-02  5.20833333E-03  3.38541667E-02  7.81250000E-02  4.94791667E-02        9       1       1       2       1      13      60      76 |   0.00E+00  0.00E+00  1.56E+05  1.63E+02  8.85E+01  2.41E+00
    6917  2.20000000E+00  3.80489166E-04   1.44133712E-01  3.15014141E+00  0.00000000E+00  0.00000000E+00  3.86508773E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743798E-06  1.06204535E-05  1.62679731E-08  4.85330061E-08  4.11641944E-05  1.40471622E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  2.08333333E-02  1.04166667E-02  1.04166667E-02  4.16666667E-02  7.94270833E-02  4.55729167E-02        9       1       1       1       2      16      61      70 |   0.00E+00  0.00E+00  1.55E+05  1.61E+02  8.71E+01  2.37E+00
    7179  2.30000000E+00  3.83503332E-04   1.44133712E-01  3.15283064E+00  0.00000000E+00  0.00000000E+00  3.86508723E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743796E-06  1.06204534E-05  1.87903200E-08  5.59821760E-08  4.13679635E-05  1.40636740E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  4.42708333E-02  8.59375000E-02  4.16666667E-02        9       1       1       1       1      17      66      64 |   0.00E+00  0.00E+00  1.56E+05  1.60E+02  8.56E+01  2.32E+00
    7439  2.40000000E+00  3.86432382E-04   1.44133712E-01  3.15518695E+00  0.00000000E+00  0.00000000E+00  3.86508681E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743795E-06  1.06204534E-05  2.15745661E-08  6.41828649E-08  4.15472716E-05  1.40765677E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  4.16666667E-02  2.08333333E-02  1.04166667E-02  4.16666667E-02  9.76562500E-02  3.77604167E-02        8       2       2       2       2      16      75      58 |   0.00E+00  0.00E+00  1.59E+05  1.65E+02  8.62E+01  2.34E+00
    7697  2.50000000E+00  3.89277354E-04   1.44133712E-01  3.15726321E+00  0.00000000E+00  0.00000000E+00  3.86508644E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743794E-06  1.06204534E-05  2.46353107E-08  7.31719645E-08  4.17060830E-05  1.40867103E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  4.16666667E-02  2.08333333E-02  5.20833333E-03  4.68750000E-02  1.01562500E-01  3.38541667E-02        8       2       2       2       1      18      78      52 |   0.00E+00  0.00E+00  1.56E+05  1.63E+02  8.58E+01  2.32E+00
    7953  2.60000000E+00  3.92105758E-04   1.44133712E-01  3.15910220E+00  0.00000000E+00  0.00000000E+00  3.86508611E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743794E-06  1.06204534E-05  2.79870745E-08  8.29852240E-08  4.18475551E-05  1.40947777E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  4.16666667E-02  1.04166667E-02  1.04166667E-02  5.46875000E-02  1.05468750E-01  2.73437500E-02        8       2       2       1       2      21      81      42 |   0.00E+00  0.00E+00  1.53E+05  1.59E+02  8.48E+01  2.29E+00
    8208  2.70000000E+00  3.94857824E-04   1.44133712E-01  3.16073887E+00  0.00000000E+00  0.00000000E+00  3.86508581E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743793E-06  1.06204534E-05  3.16442691E-08  9.36570917E-08  4.19742330E-05  1.41012480E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  4.16666667E-02  1.04166667E-02  5.20833333E-03  5.98958333E-02  1.17187500E-01  1.56250000E-02        8       2       2       1       1      23      90      24 |   0.00E+00  0.00E+00  1.50E+05  1.51E+02  8.16E+01  2.21E+00
    8461  2.80000000E+00  3.97544758E-04   1.44133712E-01  3.16220195E+00  0.00000000E+00  0.00000000E+00  3.86508555E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743792E-06  1.06204533E-05  3.56229103E-08  1.05225542E-07  4.20882438E-05  1.41064391E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  2.08333333E-02  2.08333333E-02  1.04166667E-02  6.77083333E-02  1.17187500E-01  1.30208333E-02        8       2       1       2       2      26      90      20 |   0.00E+00  0.00E+00  1.55E+05  1.51E+02  7.85E+01  2.12E+00
    8712  2.90000000E+00  4.00184647E-04   1.44133712E-01  3.16351527E+00  0.00000000E+00  0.00000000E+00  3.86508530E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743790E-06  1.06204533E-05  3.99370009E-08  1.17721552E-07  4.21912836E-05  1.41105960E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  2.08333333E-02  2.08333333E-02  5.20833333E-03  7.29166667E-02  1.15885417E-01  1.43229167E-02        8       2       1       2       1      28      89      22 |   0.00E+00  0.00E+00  1.56E+05  1.53E+02  7.85E+01  2.12E+00
    8962  3.00000000E+00  4.02791402E-04   1.44133712E-01  3.16469871E+00  0.00000000E+00  0.00000000E+00  3.86508507E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743788E-06  1.06204533E-05  4.46003773E-08  1.31174509E-07  4.22847611E-05  1.41139002E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  2.08333333E-02  1.04166667E-02  1.04166667E-02  8.07291667E-02  1.14583333E-01  1.30208333E-02        8       2       1       1       2      31      88      20 |   0.00E+00  0.00E+00  1.55E+05  1.53E+02  7.82E+01  2.11E+00
    9210  3.10000000E+00  4.05320667E-04   1.44133712E-01  3.16576895E+00  0.00000000E+00  0.00000000E+00  3.86508485E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743787E-06  1.06204532E-05  4.96287141E-08  1.45617753E-07  4.23698938E-05  1.41165198E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  8.33333333E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  8.33333333E-02  1.15885417E-01  1.43229167E-02        8       2       1       1       1      32      89      22 |   0.00E+00  0.00E+00  1.57E+05  1.56E+02  7.84E+01  2.11E+00
    9456  3.20000000E+00  4.07799204E-04   1.44133712E-01  3.16674010E+00  0.00000000E+00  0.00000000E+00  3.86508464E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743785E-06  1.06204532E-05  5.50353122E-08  1.61076591E-07  4.24476698E-05  1.41185964E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   6.66666667E-01  4.16666667E-02  4.16666667E-02  2.08333333E-02  1.04166667E-02  8.85416667E-02  1.15885417E-01  1.43229167E-02        8       1       2       2       2      34      89      22 |   0.00E+00  0.00E+00  1.57E+05  1.60E+02  7.99E+01  2.15E+00
